4898 11 1
0,3076923077 0,026788202 0,2168674699 0,3082822086 0,1300075149 0,149825784 0,373549884 1 0,2545454545 0,2674418605 0,1290322581 0,5
0,2403846154 0,0002189229 0,2048192771 0,0153374233 0,1415688768 0,0418118467 0,2853828306 0,9930000902 0,5272727273 0,3139534884 0,2419354839 0,5
0,4134615385 0,0001990208 0,2409638554 0,0966257669 8,67102144632638E-05 0,0975609756 0,2041763341 7,98989701022759E-06 0,4909090909 0,2558139535 0,3387096774 0,5
0,3269230769 0,0001492656 0,1927710843 0,1211656442 0,1675819412 0,1567944251 0,4106728538 8,48989056531061E-06 0,4272727273 0,2093023256 0,3064516129 0,5
0,3269230769 0,0001492656 0,1927710843 0,1211656442 0,1675819412 0,1567944251 0,4106728538 8,48989056531061E-06 0,4272727273 0,2093023256 0,3064516129 0,5
0,4134615385 0,0001990208 0,2409638554 0,0966257669 8,67102144632638E-05 0,0975609756 0,2041763341 7,98989701022759E-06 0,4909090909 0,2558139535 0,3387096774 0,5
0,2307692308 0,000238825 0,0963855422 0,0981595092 0,1300075149 0,0975609756 0,2946635731 7,78989958819427E-06 0,4181818182 0,2906976744 0,2580645161 0,5
0,3076923077 0,0001890698 0,2168674699 0,3082822086 0,1300075149 0,149825784 0,373549884 1 0,2545454545 0,2674418605 0,1290322581 0,5
0,2403846154 0,0002189229 0,2048192771 0,0153374233 0,1415688768 0,0418118467 0,2853828306 0,9930000902 0,5272727273 0,3139534884 0,2419354839 0,5
0,4134615385 0,0001393146 0,2590361446 0,013803681 0,1271171744 0,0905923345 0,2784222738 6,68991376701152E-06 0,4545454545 0,2674418605 0,4838709677 0,5
0,4134615385 0,0001890698 0,2469879518 0,0130368098 0,0953234291 0,031358885 0,1252900232 0,00000369 0,2454545455 0,3953488372 0,6451612903 0,3333333333
0,4615384615 0,0001492656 0,2409638554 0,0552147239 0,1011041101 0,0522648084 0,2320185615 7,58990216616106E-06 0,3818181818 0,3604651163 0,2741935484 0,3333333333
0,3942307692 9,95104087887593E-05 0,2228915663 0,009202454 5,78068096421758E-05 0,0487804878 0,1531322506 0,991000116 0,4181818182 0,476744186 0,4516129032 0,3333333333
0,2692307692 7,96083270310074E-05 0,2409638554 0,013803681 0,1271171744 0,1602787456 0,3109048724 4,08994728057959E-06 0,7454545455 0,3488372093 0,7096774194 0,6666666667
0,4326923077 0,0003383354 0,3734939759 0,2860429448 5,78068096421758E-05 0,1358885017 0,3781902552 1,30898312720748E-05 0,2363636364 0,523255814 0,2741935484 0,3333333333
0,2692307692 8,95593679098834E-05 0,2289156627 0,013803681 0,0924330886 0,0905923345 0,2389791183 4,2899447026128E-06 0,4818181818 0,3837209302 0,5483870968 0,6666666667
0,2403846154 0,0003980416 0,0240963855 0,0076687117 0,1328978554 0,0975609756 0,2088167053 5,68992665684537E-06 0,4727272727 0,1627906977 0,2580645161 0,5
0,2307692308 0,0005771604 0,2891566265 0,009202454 0,0837620672 0,0940766551 0,1531322506 0,00000209 0,5545454545 0,1976744186 0,7741935484 0,8333333333
